"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Cardiovascular outcomes with tirzepatide versus dulaglutide in type 2 diabetes","https://scispace.com/paper/cardiovascular-outcomes-with-tirzepatide-versus-dulaglutide-7cghlpu0pv3g","2025","Journal Article","The New England Journal of Medicine","Stephen J. Nicholls
Imre Pavo
Deepak L. Bhatt
John B. Buse
Stefano Del Prato
S. Kahn
A. M. Lincoff
Darren K. Mcguire
Debra Miller
Michael A. Nauck
Hiroshi Nishiyama
Steven E. Nissen
N. Sattar
G. Weerakkody
R. Wiese
B. Zinman
S. Zoungas
Jan N. Basile
Melanie J. Davies
F. Giorgino
M. Kellerer
Linong Ji
T. Várkonyi
Venu Menon
Jonathan C. Broder
Alan Herschtal
D. D'Alessio","10.1056/nejmoa2505928","https://publicatio.bibl.u-szeged.hu/38555/1/Varkonyi.pdf","… type 2 diabetes and in strategies to promote weight loss. Clinical trials have shown that glucagon-… , clinical trial of the effect of tirzepatide on cardiovascular outcomes have been lacking. …","BACKGROUND
Tirzepatide, a dual incretin agonist of the glucagon-like peptide-1 and glucose-dependent insulinotropic polypeptide receptors, has favorable effects on glycemic control and body weight. The effects on cardiovascular outcomes are uncertain.


METHODS
We conducted an active-comparator-controlled, double-blind, noninferiority trial in which patients with type 2 diabetes and atherosclerotic cardiovascular disease were randomly assigned in a 1:1 ratio to receive a weekly subcutaneous injection of tirzepatide (up to 15 mg) or dulaglutide (1.5 mg), an agent that has been shown to reduce the incidence of cardiovascular events. The primary end point was a composite of death from cardiovascular causes, myocardial infarction, or stroke and was tested for noninferiority of tirzepatide to dulaglutide with a margin of 1.05 for the upper limit of the 95.3% confidence interval for the hazard ratio. An upper limit of less than 1.00 was considered to indicate superiority of tirzepatide to dulaglutide.


RESULTS
A total of 13,299 patients underwent randomization; 134 were subsequently excluded because they did not meet inclusion criteria. The modified intention-to-treat population thus included 6586 patients in the tirzepatide group and 6579 in the dulaglutide group. The mean (±SD) age of the patients was 64.1±8.8 years, 29.0% were women, the mean body-mass index (the weight in kilograms divided by the square of the height in meters) was 32.6±5.5, the mean glycated hemoglobin level was 8.4±0.9%, and the mean duration of diabetes was 14.7±8.8 years. A primary end-point event occurred in 801 patients (12.2%) in the tirzepatide group and 862 (13.1%) in the dulaglutide group (hazard ratio, 0.92; 95.3% confidence interval, 0.83 to 1.01; P = 0.003 for noninferiority; P = 0.09 for superiority). The incidence of adverse events appeared to be similar in the two groups, although more gastrointestinal adverse events were observed in the tirzepatide group.


CONCLUSIONS
Among patients with type 2 diabetes and atherosclerotic cardiovascular disease, tirzepatide was noninferior to dulaglutide with respect to a composite of death from cardiovascular causes, myocardial infarction, or stroke. (Funded by Eli Lilly; SURPASS-CVOT ClinicalTrials.gov number, NCT04255433.)."
"Continued treatment with tirzepatide for maintenance of weight reduction in adults with obesity: the SURMOUNT-4 randomized clinical trial","https://scispace.com/paper/continued-treatment-with-tirzepatide-for-maintenance-of-2t0ph8in1w","2023","Journal Article","","Louis J. Aronne
Naveed Sattar
Deborah B Horn
Harold E Bays
Sean Wharton
Wen-Yuan Lin
Nadia N. Ahmad
Shuyu Zhang
Ran Liao
Mathijs C. Bunck
Irina Jouravskaya
Madhumita A Murphy","10.1001/jama.2023.24945","","… Safety assessments included treatment-emergent adverse events, serious adverse events, and early discontinuation of study drug due to adverse events during the tirzepatide lead-in …","Importance
The effect of continued treatment with tirzepatide on maintaining initial weight reduction is unknown.


Objective
To assess the effect of tirzepatide, with diet and physical activity, on the maintenance of weight reduction.


Design, Setting, and Participants
This phase 3, randomized withdrawal clinical trial conducted at 70 sites in 4 countries with a 36-week, open-label tirzepatide lead-in period followed by a 52-week, double-blind, placebo-controlled period included adults with a body mass index greater than or equal to 30 or greater than or equal to 27 and a weight-related complication, excluding diabetes.


Interventions
Participants (n = 783) enrolled in an open-label lead-in period received once-weekly subcutaneous maximum tolerated dose (10 or 15 mg) of tirzepatide for 36 weeks. At week 36, a total of 670 participants were randomized (1:1) to continue receiving tirzepatide (n = 335) or switch to placebo (n = 335) for 52 weeks.


Main Outcomes and Measures
The primary end point was the mean percent change in weight from week 36 (randomization) to week 88. Key secondary end points included the proportion of participants at week 88 who maintained at least 80% of the weight loss during the lead-in period.


Results
Participants (n = 670; mean age, 48 years; 473 [71%] women; mean weight, 107.3 kg) who completed the 36-week lead-in period experienced a mean weight reduction of 20.9%. The mean percent weight change from week 36 to week 88 was -5.5% with tirzepatide vs 14.0% with placebo (difference, -19.4% [95% CI, -21.2% to -17.7%]; P < .001). Overall, 300 participants (89.5%) receiving tirzepatide at 88 weeks maintained at least 80% of the weight loss during the lead-in period compared with 16.6% receiving placebo (P < .001). The overall mean weight reduction from week 0 to 88 was 25.3% for tirzepatide and 9.9% for placebo. The most common adverse events were mostly mild to moderate gastrointestinal events, which occurred more commonly with tirzepatide vs placebo.


Conclusions and Relevance
In participants with obesity or overweight, withdrawing tirzepatide led to substantial regain of lost weight, whereas continued treatment maintained and augmented initial weight reduction.


Trial Registration
ClinicalTrials.gov Identifier: NCT04660643."
"The relation between tirzepatide and adverse cardiovascular events or renal adverse events: a meta-analysis based on randomized controlled trials","https://scispace.com/paper/the-relation-between-tirzepatide-and-adverse-cardiovascular-wimh0219fnik","2025","Journal Article","Diabetology & Metabolic Syndrome","Lishen Liu
Jingqi Chen
Xiaoming Zhang
Sidong Zhu
Tianfu Dai
Qingping Wu
Yinchao Fang","10.1186/s13098-025-02064-1","https://link.springer.com/content/pdf/10.1186/s13098-025-02064-1.pdf","… Currently, a clinical trial has demonstrated that tirzepatide actually reduces death and heart … transient renal impairment, as well as weight loss-related adipose tissue breakdown, which …","This meta-analysis aimed to evaluate the relation between tirzepatide exposure and the risk of adverse cardiovascular or renal events in participants with type 2 diabetes mellitus (T2DM) or obesity. A comprehensive search was conducted from inception until 17th September 2025 across PubMed, Web of Science, EMBASE, ScienceDirect, and ClinicalTrials.gov. Randomized controlled trials (RCTs) comparing tirzepatide with a control group (placebo or other active treatments) in participants with T2DM or obesity that reported adverse cardiovascular events (myocardial infarction (MI), coronary artery disease (CAD), heart failure (HF), and stroke) or adverse renal events (urinary tract infections, kidney stones, renal impairment, renal cell carcinoma) were included. Risk ratios (RR) with 95% confidence intervals (CI) were set to evaluate. A total of 20 RCTs involving 15,905 participants were included. Overall, no significant relation was observed between tirzepatide exposure and adverse cardiovascular events (RR = 0.83, 95%CI: 0.63–1.08, p = 0.16, I²=0%) or adverse renal events (RR = 1.22, 95%CI: 0.78–1.89, p = 0.39, I²=0%) compared with the control group. Subgroup analyses based on indication (T2DM or obesity), subtype of adverse cardiovascular events, subtype of adverse renal events, dose of tirzepatide, and type of comparator showed no significant differences between the tirzepatide and control groups. In participants with T2DM or obesity, no significant difference between exposure group and control group was observed in our findings. However, longer-term safety, especially in high-risk groups, cannot be ascertained due to heterogeneous outcome definitions and short follow-up durations. The study was registered with PROSPERO and the ID number is CRD420251054743."
"Cardiorenal Outcomes With Tirzepatide Compared With Dulaglutide in Patients With Diabetes and Cardiovascular Disease","https://scispace.com/paper/Uf2v-tGHH1gJ","","","","SE Nissen
K Wolski
D d'Alessio
G Weerakkody","","https://hal.science/hal-05641221/document","… randomized clinical trial comparing the effects of tirzepatide and … adverse events were more common with tirzepatide (2827 … demonstrating greater weight loss with the tirzepatide com…",""
"Tirzepatide for weight reduction in Chinese adults with obesity: the SURMOUNT-CN randomized clinical trial","https://scispace.com/paper/uY6h3cHknNkJ","","","","L Zhao
Z Cheng
Y Lu
M Liu
H Chen
M Zhang","","https://jamanetwork.com/journals/jama/articlepdf/2819431/jama_zhao_2024_oi_240069_1723483061.28045.pdf","… adverse events were reported by 95.7% of participants in the tirzepatide 10 mg group, 90.1% in the tirzepatide … The most frequently reported adverse events with tirzepatide were …",""
"Cardiovascular outcomes trials for weight loss interventions: another tool for cardiovascular prevention?","https://scispace.com/paper/cardiovascular-outcomes-trials-for-weight-loss-interventions-3o5478g1we","2021","Journal Article","Circulation","Ian J. Neeland
Darren K. McGuire
Naveed Sattar","10.1161/CIRCULATIONAHA.121.056742","https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.121.056742","… tirzepatide compared with semaglutide 1.0 mg SQ weekly in patients with type 2 diabetes, 5 showed that tirzepatide … is lower than the dose used for weight loss) as a secondary end point…",""
"Improvements in cardiometabolic risk factors by weight reduction: a post hoc analysis of adults with obesity randomly assigned to tirzepatide","https://scispace.com/paper/improvements-in-cardiometabolic-risk-factors-by-weight-0m3e36es8cn1","2025","Journal Article","Annals of Internal Medicine","Bruno Linetzky
Naveed Sattar
Subodh Verma
Harlan M. Krumholz
Canmao Xie
Hildegard Hoffmann
Sarah Zimner‐Rapuch
Amelia Torcello‐Gómez
Adam Stefański","10.7326/annals-24-02623","","… Duration and sample size precluded evaluation of cardiovascular outcomes. … In conclusion, this post hoc analysis of SURMOUNT-1 suggested that tirzepatide-treated participants with …","Tirzepatide reduced weight and improved cardiometabolic risk factors for participants in the SURMOUNT-1 trial. The changes in cardiometabolic risk factors by degree of tirzepatide-induced weight reduction across a wide spectrum of weight loss have not been reported. To determine changes in cardiometabolic risk factors by weight reduction. Post hoc analysis of the phase 3, randomized, double-blind, SURMOUNT-1 trial (ClinicalTrials.gov: NCT04184622). 119 sites in 9 countries. Adults (n = 1605) with obesity, or overweight with weight-related complications (excluding diabetes), randomly assigned to tirzepatide treatment groups. Once-weekly tirzepatide, 5, 10, or 15 mg. Changes from baseline to week 72 in cardiometabolic risk factors by weight reduction. Participants had a mean age of 45.4 years (SD, 12.2) and mean body mass index of 37.9 kg/m2 (SD, 6.7), and 68% were female. The greater weight reduction categories had higher percentages of female and White participants. Participants who lost at least 35% of their body weight from baseline to week 72 had mean changes of up to -14.2 mm Hg (95% CI, -16.1 to -12.3 mm Hg) for systolic blood pressure, -9.2 mm Hg (CI, -10.6 to -7.8 mm Hg) for diastolic blood pressure, -32.4 cm (CI, -33.5 to -31.3 cm) for waist circumference, -59.7% (CI, -63.6% to -55.3%) for the homeostatic model assessment of insulin resistance (HOMA-IR), and -0.65 percentage point (CI, -0.70 to -0.61 percentage point) for hemoglobin A1c. The relationship between percentage weight reduction and changes in cardiometabolic risk factors seemed mostly linear for waist circumference and blood pressure, with a steeper slope for systolic than diastolic blood pressure. Decreases in HOMA-IR and hemoglobin A1c were observed even with modest weight reduction, with the steepest effect occurring between less than 5% and less than 20% weight reduction. Improvements in levels of triglycerides, high-density lipoprotein (HDL) cholesterol, low-density lipoprotein cholesterol, and non-HDL cholesterol were primarily observed only after weight reductions greater than 10%. Results were consistent after adjustment for baseline differences. The analysis was post hoc and should be regarded as hypothesis-generating. Duration and sample size precluded evaluation of cardiovascular outcomes. In SURMOUNT-1, tirzepatide-associated improvements in cardiometabolic risk factors positively related to the degree of weight reduction, but the pattern varied depending on outcome measure. Eli Lilly and Company. "
"Comparative efficacy of tirzepatide, liraglutide, and semaglutide in reduction of risk of major adverse cardiovascular events in patients with obstructive sleep apnea …","https://scispace.com/paper/fWnMf7tfCjQJ","","","","AE Henney
DR Riley
M Anson","","","… Phase III clinical trials assessing treatment with tirzepatide and … Although clinical trial data with tirzepatide and liraglutide … , we are now approaching a similar magnitude of weight loss …",""
"An observational study of cardiovascular outcomes of tirzepatide vs glucagon-like peptide-1 receptor agonists","https://scispace.com/paper/an-observational-study-of-cardiovascular-outcomes-of-8ai927yisoue","2025","Journal Article","","Sourbha S. Dani
Bhargav Makwana
Sumanth Khadke
Ashish Kumar
Pardeep S. Jhund
Khurram Nasir
N. Sattar
Sadeer Al-Kindi
G. Fonarow
Javed Butler
Deepak L. Bhatt
M. Kosiborod
Anju Nohria
S. Ganatra","10.1016/j.jacadv.2025.101740","","… 2 as a surrogate marker for weight loss during the follow-up … dose-dependent weight loss with tirzepatide; however, we … , has been remunerated for clinical trial work from AstraZeneca, …","Background While cardiovascular benefits of tirzepatide, a glucose-dependent insulinotropic peptide/glucagon-like peptide-1 receptor agonist in patients with type 2 diabetes mellitus (T2DM), and its comparative effectiveness vs glucagon-like peptide-1 receptor agonists (GLP-1RAs) is studied in randomized controlled trials, real-world outcomes may provide critical insights. Objectives The purpose of this study was to examine the cardiovascular benefits of tirzepatide vs GLP-1RA in people living with overweight or obesity, with T2DM, age ≥40 years, and pre-existing ischemic heart disease (IHD). Methods A retrospective cohort analysis of de-identified, aggregate patient data from the TriNetX research network was conducted. People with T2DM, age ≥40 years, pre-existing IHD, and body mass index ≥25 kg/m2 receiving either tirzepatide or GLP-1RA were identified and divided into 2 groups (tirzepatide vs GLP-1RA). After propensity score matching, Cox-proportional HRs were used to compare efficacy and safety outcomes during 1-year follow-up. Results Among 47,719 adults, 753 received tirzepatide, and 46,966 were on GLP-1RA. After propensity score matching, each group had 751 adults (mean age 59.9 ± 8.9 years, 46.5% females, 74.8% White adults in the tirzepatide group). Treatment with tirzepatide was associated with lower primary composite outcomes of acute myocardial infarction, ischemic stroke, and all-cause mortality (HR: 0.60, 95% CI: 0.43-0.84, P < 0.001). Individually, acute myocardial infarction (HR: 0.59, 95% CI: 0.38-0.91) and all-cause mortality (HR: 0.35, 95% CI: 0.14-0.88, P = 0.001) were also found to be favorable in the tirzepatide group. Conclusions Tirzepatide use is associated with better outcomes in adults aged 40 years or older with T2DM, body mass index ≥25 kg/m2, and pre-existing IHD."
"Cardiovascular adverse event reporting profile of tirzepatide: a real-world pharmacovigilance analysis of heart failure, arrhythmias, and ischemic events","https://scispace.com/paper/Pa8EkFq9LrAJ","","","","D Chen
Z Wang
Z Xie
Y Chen
S Luo","","","… Number of reports containing all other adverse events for tirzepatide; … Tirzepatide once weekly for the treatment of obesity in people with type 2 diabetes (SURMOUNT-2): a double-blind, …",""
