"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Deep learning architecture based on segmented fundus image features for classification of diabetic retinopathy","https://scispace.com/paper/deep-learning-architecture-based-on-segmented-fundus-image-39qdvnb82j","2021","Journal Article","Biomedical Signal Processing and Control","Sraddha Das
Krity Kharbanda
M. Suchetha
Rajiv Raman
Edwin Dhas D","10.1016/J.BSPC.2021.102600","","… , and a convolution and pooling layer architecture for classification between the two classes. … the dataset DIARETDB1 (standard Diabetic Retinopathy Dataset) and the dataset provided …",""
"Deep learning frameworks for diabetic retinopathy detection with smartphone-based retinal imaging systems","https://scispace.com/paper/deep-learning-frameworks-for-diabetic-retinopathy-detection-33mmjtepiw","2020","Journal Article","Pattern Recognition Letters","Recep E. Hacisoftaoglu
Mahmut Karakaya
Ahmed Sallam","10.1016/J.PATREC.2020.04.009","https://pmc.ncbi.nlm.nih.gov/articles/PMC7377280/pdf/nihms-1600537.pdf","… -based retinal images using the deep learning approach with the … Based on the vision-threatening diabetic retinopathy … 0.9978 on the independent test dataset. As the main contributions…",""
"Diabetic retinopathy detection using VGG-NIN a deep learning architecture","https://scispace.com/paper/diabetic-retinopathy-detection-using-vgg-nin-a-deep-learning-31fa0u12mi","2021","Journal Article","IEEE Access","Zubair Rashid Khan
Fiaz Gul Khan
Ahmad Khan
Zia ur Rehman
Sajid Shah
Sehrish Qummar
Farman Ali
Sangheon Pack","10.1109/ACCESS.2021.3074422","https://ieeexplore.ieee.org/iel7/6287639/6514899/09409084.pdf","… dataset, which is organized by EyePacs and to the best of our knowledge, it is the largest dataset of fundus images for diabetic retinopathy… However, we can see the comparison of …","Diabetic retinopathy (DR) is a disease that damages retinal blood vessels and leads to blindness. Usually, colored fundus shots are used to diagnose this irreversible disease. The manual analysis (by clinicians) of the mentioned images is monotonous and error-prone. Hence, various computer vision hands-on engineering techniques are applied to predict the occurrences of the DR and its stages automatically. However, these methods are computationally expensive and lack to extract highly nonlinear features and, hence, fail to classify DR’s different stages effectively. This paper focuses on classifying the DR’s different stages with the lowest possible learnable parameters to speed up the training and model convergence. The VGG16, spatial pyramid pooling layer (SPP) and network-in-network (NiN) are stacked to make a highly nonlinear scale-invariant deep model called the VGG-NiN model. The proposed VGG-NiN model can process a DR image at any scale due to the SPP layer’s virtue. Moreover, the stacking of NiN adds extra nonlinearity to the model and tends to better classification. The experimental results show that the proposed model performs better in terms of accuracy, computational resource utilization compared to state-of-the-art methods."
"A deep learning ensemble approach for diabetic retinopathy detection","https://scispace.com/paper/a-deep-learning-ensemble-approach-for-diabetic-retinopathy-44hmr2lw63","2019","Journal Article","IEEE Access","Sehrish Qummar
Fiaz Gul Khan
Sajid Shah
Ahmad Khan
Shahaboddin Shamshirband
Zia ur Rehman
Iftikhar Ahmed Khan
Waqas Jadoon","10.1109/ACCESS.2019.2947484","https://ieeexplore.ieee.org/iel7/6287639/8600701/08869883.pdf","… the nature of architecture. Another limitation is that they used the skewed dataset of Kaggle … of our results on an imbalanced dataset and provides a comparison with Pratt et al. [21]. The …","Diabetic Retinopathy (DR) is an ophthalmic disease that damages retinal blood vessels. DR causes impaired vision and may even lead to blindness if it is not diagnosed in early stages. DR has five stages or classes, namely normal, mild, moderate, severe and PDR (Proliferative Diabetic Retinopathy). Normally, highly trained experts examine the colored fundus images to diagnose this fatal disease. This manual diagnosis of this condition (by clinicians) is tedious and error-prone. Therefore, various computer vision-based techniques have been proposed to automatically detect DR and its different stages from retina images. However, these methods are unable to encode the underlying complicated features and can only classify DR's different stages with very low accuracy particularly, for the early stages. In this research, we used the publicly available Kaggle dataset of retina images to train an ensemble of five deep Convolution Neural Network (CNN) models (Resnet50, Inceptionv3, Xception, Dense121, Dense169) to encode the rich features and improve the classification for different stages of DR. The experimental results show that the proposed model detects all the stages of DR unlike the current methods and performs better compared to state-of-the-art methods on the same Kaggle dataset."
"Deep learning architectures for diagnosis of diabetic retinopathy","https://scispace.com/paper/deep-learning-architectures-for-diagnosis-of-diabetic-6p8e1tmz","2023","Journal Article","Applied Sciences","Alberto Solano
Marcelino Martínez-Sober","10.3390/app13074445","https://scispace.com/pdf/deep-learning-architectures-for-diagnosis-of-diabetic-6p8e1tmz.pdf","… In this section, we develop and explain the dataset and the … Table 3 shows a comparison between the five models we have … architecture widely used and known in many fields where …","For many years, convolutional neural networks dominated the field of computer vision, not least in the medical field, where problems such as image segmentation were addressed by such networks as the U-Net. The arrival of self-attention-based networks to the field of computer vision through ViTs seems to have changed the trend of using standard convolutions. Throughout this work, we apply different architectures such as U-Net, ViTs and ConvMixer, to compare their performance on a medical semantic segmentation problem. All the models have been trained from scratch on the DRIVE dataset and evaluated on their private counterparts to assess which of the models performed better in the segmentation problem. Our major contribution is showing that the best-performing model (ConvMixer) is the one that shares the approach from the ViT (processing images as patches) while maintaining the foundational blocks (convolutions) from the U-Net. This mixture does not only produce better results (DICE=0.83) than both ViTs (0.80/0.077 for UNETR/SWIN-Unet) and the U-Net (0.82) on their own but reduces considerably the number of parameters (2.97M against 104M/27M and 31M, respectively), showing that there is no need to systematically use large models for solving image problems where smaller architectures with the optimal pieces can get better results."
"Deep learning techniques for diabetic retinopathy classification: A survey","https://scispace.com/paper/deep-learning-techniques-for-diabetic-retinopathy-3pvp2g1v","2022","Journal Article","IEEE Access","MZ Atwany
AH Sahyoun
M Yaqub","10.1109/access.2022.3157632","https://ieeexplore.ieee.org/iel7/6287639/6514899/09729867.pdf","… stages of Diabetic Retinopathy for the Messidor dataset [28] and their private dataset as well. … architecture with a small decoder, namely head and a feature extractor. Kaggle EyePACs …","Diabetic Retinopathy (DR) is a degenerative disease that impacts the eyes and is a consequence of Diabetes mellitus, where high blood glucose levels induce lesions on the eye retina. Diabetic Retinopathy is regarded as the leading cause of blindness for diabetic patients, especially the working-age population in developing nations. Treatment involves sustaining the patient’s current grade of vision since the disease is irreversible. Early detection of Diabetic Retinopathy is crucial in order to sustain the patient’s vision effectively. The main issue involved with DR detection is that the manual diagnosis process is very time, money, and effort consuming and involves an ophthalmologist’s examination of eye retinal fundus images. The latter also proves to be more difficult, particularly in the early stages of the disease when disease features are less prominent in the images. Machine learning-based medical image analysis has proven competency in assessing retinal fundus images, and the utilization of deep learning algorithms has aided the early diagnosis of Diabetic Retinopathy (DR). This paper reviews and analyzes state-of-the-art deep learning methods in supervised, self-supervised, and Vision Transformer setups, proposing retinal fundus image classification and detection. For instance, referable, non-referable, and proliferative classifications of Diabetic Retinopathy are reviewed and summarized. Moreover, the paper discusses the available retinal fundus datasets for Diabetic Retinopathy that are used for tasks such as detection, classification, and segmentation. The paper also assesses research gaps in the area of DR detection/classification and addresses various challenges that need further study and investigation. "
"Comparative Analysis of Diabetic Retinopathy Classification Approaches Using Machine Learning and Deep Learning Techniques: R. Bala et al.","https://scispace.com/paper/YbIBHZU600UJ","","","","R Bala
A Sharma
N Goel","","","… model for the corresponding DR dataset. The use of deep learning and machine learning … Table 2 presents the comparison of several prior review papers solving the problem of DRC …",""
"A deep learning based model for diabetic retinopathy grading","https://scispace.com/paper/a-deep-learning-based-model-for-diabetic-retinopathy-grading-ewzsvgusepkg","","","","Samia Akhtar
Shabib Aftab
Oualid Ali
Munir Ahmad
Muhammad Adnan Khan
Sagheer Abbas
Taher M. Ghazal","10.1038/s41598-025-87171-9","https://www.nature.com/articles/s41598-025-87171-9.pdf","… deep learning leveraging the capabilities of Big Data tools to process the IDRiD dataset (Indian Diabetic Retinopathy Image Dataset… of an optimized CNN architecture that not only …","Diabetic retinopathy stands as a leading cause of blindness among people. Manual examination of DR images is labor-intensive and prone to error. Existing methods to detect this disease often rely on handcrafted features which limit the adaptability and classification accuracy. Thus, the aim of this research is to develop an automated and efficient system for early detection and accurate grading of diabetic retinopathy severity with less time consumption. In our research, we have developed a deep neural network named RSG-Net (Retinopathy Severity Grading) to classify DR into 4 stages (multi-class classification) and 2 stages (binary classification). The dataset utilized in this study is Messidor-1. In preprocessing, we have used Histogram Equalization to improve image contrast and denoising techniques to remove noise and artifacts which enhanced the clarity of the fundus images. We applied data augmentation techniques to our preprocessed images in order to tackle class imbalance issues. Augmentation techniques involve flipping, rotation, zooming and adjustment of color, contrast and brightness. The proposed RSG-Net model contains convolutional layers to perform automatic feature extraction from the input images and batch normalization layers to improve training speed and performance. The model also contains max pooling, drop out and fully connected layers. Our proposed RSG-Net model achieved a testing accuracy of 99.36%, specificity of 99.79% and a sensitivity of 99.41% in classifying diabetic retinopathy into 4 grades and it achieved 99.37% accuracy, 100% sensitivity and 98.62% specificity in classifying DR into 2 grades. The performance of RSG-Net is also compared with other state-of-the-art methodologies where it outperformed these methods."
"Classification of diabetic retinopathy images by using deep learning models","https://scispace.com/paper/classification-of-diabetic-retinopathy-images-by-using-deep-31ffo5811u","2018","Journal Article","International Journal of Grid and Distributed Computing","Suvajit Dutta
Bonthala Cs Manideep
Syed Muzamil Basha
Ronnie D. Caytiles
N. Ch. S. N. Iyengar","10.14257/IJGDC.2018.11.1.09","https://www.researchgate.net/profile/N-Ch-Sriman-Narayana-Iyenger/publication/322978904_Classification_of_Diabetic_Retinopathy_Images_by_Using_Deep_Learning_Models/links/5b224b6f458515270fc79e92/Classification-of-Diabetic-Retinopathy-Images-by-Using-Deep-Learning-Models.pdf","… Their paper thus draws comparison … dataset is its resolution, its fluctuating for different images and the image itself contains noise so proper filtering is necessary to extract proper dataset…","Diabetes or more precisely Diabetes Mellitus (DM) is a metabolic disorder happens because of high blood sugar level in the body. Over the time, diabetes creates eye deficiency also called as Diabetic Retinopathy (DR) causes major loss of vision. The symptoms can originate in the retinal area are augmented blood vessels, fluid drip, exudates, hemorrhages, and micro aneurysms. In modern medical science, images are the indispensable tool for precise diagnosis of patients. In the meantime evaluation of contemporary medical imageries remains complex. In recent times computer vision with Deep Neural Networks can train a model perfectly and level of accuracy also will be higher than other neural network models. In this study fundus images containing diabetic retinopathy has been taken into consideration. The idea behind this paper is to propose an automated knowledge model to identify the key antecedents of DR. Proposed Model have been trained with three types, back propagation NN, Deep Neural Network (DNN) and Convolutional Neural Network (CNN) after testing models with CPU trained Neural network gives lowest accuracy because of one hidden layers whereas the deep learning models are out performing NN. The Deep Learning models are capable of quantifying the features as blood vessels, fluid drip, exudates, hemorrhages and micro aneurysms into different classes. Model will calculate the weights which gives severity level of the patient’s eye. The foremost challenge of this study is the accurate verdict of each feature class thresholds. To identify the target class thresholds weighted Fuzzy C-means algorithm has been used. The model will be helpful to identify the proper class of severity of diabetic retinopathy images."
"Study of data and model parallelism in distributed deep learning for diabetic retinopathy classification","https://scispace.com/paper/study-of-data-and-model-parallelism-in-distributed-deep-1qfv9350","2023","Journal Article","Procedia Computer Science","Maheshgouda Patil
Satyadhyan Chickerur","10.1016/j.procs.2023.01.201","https://www.sciencedirect.com/science/article/pii/S1877050923002016/pdf?md5=8afca5bc71d7800d9e3ec41da6e6ac81&pid=1-s2.0-S1877050923002016-main.pdf","… comparison between DP and MP strategies of DDL algorithms being applied for a particular application, dataset… can be used depending on the architecture of DDL computing hardware[…",""
